X®y¼Ð,Y®y¼Ð
223.91,582.19
229.11,578.45
143.96,623.97
185.22,602.94
186.0,615.92
155.61,580.97
201.35,585.69
228.19,614.91
167.62,603.74
219.95999999999998,596.79
254.55,626.09
239.99,655.69
252.79000000000002,653.76
252.79000000000002,653.76
252.79000000000002,653.76
303.31,643.52
227.26,657.36
239.99,655.69
247.78,586.67
236.18,587.53
237.38,595.44
190.49,594.58
195.04,579.2
161.44,586.89
185.34,604.94
230.36,587.37
162.44,636.88
137.8,624.88
173.53,605.53
150.0,600.0
126.66,600.53
190.84,599.57
220.2,598.78
161.7,599.88
175.61,657.49
217.6,629.28
137.03,662.87
150.0,667.0
150.0,663.0
183.68,691.16
197.19,606.11
212.22,580.58
215.18,607.41
328.18,660.8
245.92000000000002,575.83
214.9,663.75
250.49,602.44
228.13,571.52
229.8,583.41
167.56,601.74
