X®y¼Ð,Y®y¼Ð,x»~®t,y»~®t
282.04,297.47,17.96,2.53
290.85,294.28,9.15,5.72
294.53,294.63,5.47,5.37
294.53,294.63,5.47,5.37
294.07,293.75,5.93,6.25
282.89,299.28,17.11,0.72
276.79,300.98,23.21,-0.98
287.64,294.77,12.36,5.23
284.82,296.15,15.18,3.85
298.68,302.62,1.32,-2.62
291.76,296.06,8.24,3.94
288.98,297.45,11.02,2.55
290.4,293.38,9.6,6.62
294.07,293.75,5.93,6.25
287.64,294.77,12.36,5.23
290.85,294.28,9.15,5.72
287.64,294.77,12.36,5.23
296.37,298.18,3.63,1.82
287.64,294.77,12.36,5.23
293.57,299.62,6.43,0.38
290.4,293.38,9.6,6.62
294.07,293.75,5.93,6.25
288.53,296.56,11.47,3.44
290.4,293.38,9.6,6.62
290.85,294.28,9.15,5.72
294.07,293.75,5.93,6.25
296.37,298.18,3.63,1.82
290.4,293.38,9.6,6.62
293.6,292.86,6.4,7.14
291.76,296.06,8.24,3.94
283.74,301.09,16.26,-1.09
293.6,292.86,6.4,7.14
293.14,291.97,6.86,8.03
276.79,300.98,23.21,-0.98
286.13,298.85,13.87,1.15
273.96,302.23,26.04,-2.23
291.76,296.06,8.24,3.94
296.81,292.3,3.19,7.7
293.6,292.86,6.4,7.14
290.85,294.28,9.15,5.72
290.4,293.38,9.6,6.62
296.34,291.42,3.66,8.58
293.6,292.86,6.4,7.14
294.07,293.75,5.93,6.25
294.99,295.52,5.01,4.48
293.6,292.86,6.4,7.14
294.53,294.63,5.47,5.37
294.02,300.52,5.98,-0.52
289.95,292.49,10.05,7.51
293.6,292.86,6.4,7.14
291.31,295.17,8.69,4.83
290.85,294.28,9.15,5.72
293.12,298.73,6.88,1.27
291.31,295.17,8.69,4.83
288.09,295.66,11.91,4.34
302.8,290.17,-2.8,9.83
284.39,295.25,15.61,4.75
288.53,296.56,11.47,3.44
295.87,290.54,4.13,9.46
291.76,296.06,8.24,3.94
287.64,294.77,12.36,5.23
288.53,296.56,11.47,3.44
288.53,296.56,11.47,3.44
288.09,295.66,11.91,4.34
285.69,297.95,14.31,2.05
287.64,294.77,12.36,5.23
294.07,293.75,5.93,6.25
290.4,293.38,9.6,6.62
293.6,292.86,6.4,7.14
288.98,297.45,11.02,2.55
293.14,291.97,6.86,8.03
286.13,298.85,13.87,1.15
287.64,294.77,12.36,5.23
290.4,293.38,9.6,6.62
296.34,291.42,3.66,8.58
296.81,292.3,3.19,7.7
293.6,292.86,6.4,7.14
293.14,291.97,6.86,8.03
289.42,298.35,10.58,1.65
288.09,295.66,11.91,4.34
287.2,293.87,12.8,6.13
296.81,292.3,3.19,7.7
294.07,293.75,5.93,6.25
289.86,299.25,10.14,0.75
290.31,300.14,9.69,-0.14
298.63,289.05,1.37,10.95
299.59,290.8,0.41,9.2
296.81,292.3,3.19,7.7
296.34,291.42,3.66,8.58
296.34,291.42,3.66,8.58
296.81,292.3,3.19,7.7
296.34,291.42,3.66,8.58
290.85,294.28,9.15,5.72
294.07,293.75,5.93,6.25
288.09,295.66,11.91,4.34
294.53,294.63,5.47,5.37
287.2,293.87,12.8,6.13
285.26,297.05,14.74,2.95
291.31,295.17,8.69,4.83
285.26,297.05,14.74,2.95
