X®y¼Ð,Y®y¼Ð,x»~®t,y»~®t
299.73,440.3,100.26999999999998,-140.3
286.96000000000004,444.6,113.03999999999996,-144.60000000000002
298.44,465.05,101.56,-165.05
276.14,511.15,123.86000000000001,-211.14999999999998
297.33000000000004,476.98,102.66999999999996,-176.98000000000002
281.0,455.87,119.0,-155.87
305.07,455.38,94.93,-155.38
312.15999999999997,461.33,87.84000000000003,-161.32999999999998
266.48,454.77,133.51999999999998,-154.76999999999998
319.02,480.12,80.98000000000002,-180.12
223.59,445.73,176.41,-145.73000000000002
258.83,443.33,141.17000000000002,-143.32999999999998
228.20999999999998,446.94,171.79000000000002,-146.94
343.71000000000004,462.73,56.289999999999964,-162.73000000000002
279.59000000000003,504.05,120.40999999999997,-204.05
280.97,472.55,119.02999999999997,-172.55
225.43,516.3399999999999,174.57,-216.33999999999992
266.5,473.37,133.5,-173.37
275.85,438.62,124.14999999999998,-138.62
282.35,477.35,117.64999999999998,-177.35000000000002
286.84000000000003,459.32,113.15999999999997,-159.32
264.68,448.0,135.32,-148.0
307.73,462.92,92.26999999999998,-162.92000000000002
367.86,425.54,32.139999999999986,-125.54000000000002
291.56,474.6,108.44,-174.60000000000002
271.88,475.06,128.12,-175.06
262.11,438.34,137.89,-138.33999999999997
354.71000000000004,419.99,45.289999999999964,-119.99000000000001
289.7,453.17,110.30000000000001,-153.17000000000002
339.97,420.52,60.02999999999997,-120.51999999999998
237.88,500.07,162.12,-200.07
309.41999999999996,453.82,90.58000000000004,-153.82
297.81,463.15,102.19,-163.14999999999998
270.6,470.23,129.39999999999998,-170.23000000000002
279.86,468.7,120.13999999999999,-168.7
233.88,453.0,166.12,-153.0
272.65,477.96,127.35000000000002,-177.95999999999998
241.70999999999998,447.34,158.29000000000002,-147.33999999999997
347.45,425.81,52.55000000000001,-125.81
308.03,424.43,91.97000000000003,-124.43
288.18,448.41,111.82,-148.41000000000003
280.14,469.66,119.86000000000001,-169.66000000000003
346.58000000000004,424.01,53.41999999999996,-124.00999999999999
267.73,478.21,132.26999999999998,-178.20999999999998
292.15999999999997,476.51,107.84000000000003,-176.51
283.6,434.13,116.39999999999998,-134.13
321.77,459.85,78.23000000000002,-159.85000000000002
261.95,495.07,138.05,-195.07
259.34000000000003,463.82,140.65999999999997,-163.82
281.86,458.74,118.13999999999999,-158.74
277.79,497.29,122.20999999999998,-197.29000000000002
269.76,449.73,130.24,-149.73000000000002
367.23,405.37,32.76999999999998,-105.37
350.18,411.07,49.81999999999999,-111.07
290.01,454.13,109.99000000000001,-154.13
272.90999999999997,478.93,127.09000000000003,-178.93
197.52,490.62,202.48,-190.62
224.74,480.01,175.26,-180.01
359.63,419.7,40.370000000000005,-119.69999999999999
308.5,495.43,91.5,-195.43
299.7,468.85,100.30000000000001,-168.85000000000002
276.97,475.75,123.02999999999997,-175.75
286.24,457.41,113.75999999999999,-157.41000000000003
272.68,497.59,127.32,-197.58999999999997
370.25,440.1,29.75,-140.10000000000002
317.40999999999997,402.19,82.59000000000003,-102.19
302.32,461.63,97.68,-161.63
284.18,450.72,115.82,-150.72000000000003
251.01999999999998,429.82,148.98000000000002,-129.82
310.2,430.02,89.80000000000001,-130.01999999999998
193.44,498.04,206.56,-198.04000000000002
330.62,469.27,69.38,-169.26999999999998
329.51,466.48,70.49000000000001,-166.48000000000002
284.52,436.98,115.48000000000002,-136.98000000000002
272.18,495.65,127.82,-195.64999999999998
230.7,487.12,169.3,-187.12
284.18,450.72,115.82,-150.72000000000003
257.85,477.54,142.14999999999998,-177.54000000000002
278.41999999999996,447.24,121.58000000000004,-147.24
275.44,453.33,124.56,-153.32999999999998
333.87,428.82,66.13,-128.82
262.11,438.34,137.89,-138.33999999999997
268.84000000000003,502.67,131.15999999999997,-202.67000000000002
315.12,407.52,84.88,-107.51999999999998
305.38,429.72,94.62,-129.72000000000003
243.18,476.65,156.82,-176.64999999999998
299.06,438.41,100.94,-138.41000000000003
309.48,416.33,90.51999999999998,-116.32999999999998
374.45,437.89,25.55000000000001,-137.89
358.33000000000004,427.12,41.66999999999996,-127.12
331.78,413.3,68.22000000000003,-113.30000000000001
277.38,460.05,122.62,-160.05
267.98,479.18,132.01999999999998,-179.18
266.5,473.37,133.5,-173.37
266.5,473.37,133.5,-173.37
263.78,462.71,136.22000000000003,-162.70999999999998
405.8,390.87,-5.800000000000011,-90.87
372.1,443.65,27.899999999999977,-143.64999999999998
357.33000000000004,415.27,42.66999999999996,-115.26999999999998
312.78,449.37,87.22000000000003,-149.37
