X®y¼Ð,Y®y¼Ð,x»~®t,y»~®t
416.6,568.99,83.39999999999998,-68.99000000000001
422.62,567.16,77.38,-67.15999999999997
422.62,567.16,77.38,-67.15999999999997
422.62,567.16,77.38,-67.15999999999997
422.18,566.26,77.82,-66.25999999999999
422.18,566.26,77.82,-66.25999999999999
422.62,567.16,77.38,-67.15999999999997
422.62,567.16,77.38,-67.15999999999997
412.8,575.23,87.19999999999999,-75.23000000000002
428.99,566.2,71.00999999999999,-66.20000000000005
434.9,564.29,65.10000000000002,-64.28999999999996
431.25,570.66,68.75,-70.65999999999997
428.99,566.2,71.00999999999999,-66.20000000000005
429.44,567.09,70.56,-67.09000000000003
423.95,569.85,76.05000000000001,-69.85000000000002
422.62,567.16,77.38,-67.15999999999997
433.05,560.74,66.94999999999999,-60.74000000000001
425.73,573.43,74.26999999999998,-73.42999999999995
428.99,566.2,71.00999999999999,-66.20000000000005
428.53,565.31,71.47000000000003,-65.30999999999995
417.47,570.79,82.52999999999997,-70.78999999999996
424.91,558.18,75.08999999999997,-58.17999999999995
411.95,573.42,88.05000000000001,-73.41999999999996
426.27,560.85,73.73000000000002,-60.85000000000002
416.17,568.09,83.82999999999998,-68.09000000000003
417.47,570.79,82.52999999999997,-70.78999999999996
416.6,568.99,83.39999999999998,-68.99000000000001
415.3,566.29,84.69999999999999,-66.28999999999996
413.56,562.69,86.44,-62.690000000000055
448.75,590.9,51.25,-90.89999999999998
439.59,547.05,60.410000000000025,-47.049999999999955
437.2,542.66,62.80000000000001,-42.65999999999997
438.63,545.29,61.370000000000005,-45.289999999999964
439.11,546.17,60.889999999999986,-46.16999999999996
439.11,546.17,60.889999999999986,-46.16999999999996
438.63,545.29,61.370000000000005,-45.289999999999964
438.63,545.29,61.370000000000005,-45.289999999999964
432.8,547.31,67.19999999999999,-47.309999999999945
454.87,537.26,45.129999999999995,-37.25999999999999
459.41,521.71,40.589999999999975,-21.710000000000036
459.41,521.71,40.589999999999975,-21.710000000000036
459.93,522.56,40.06999999999999,-22.559999999999945
460.45,523.4100000000001,39.55000000000001,-23.410000000000082
460.45,523.4100000000001,39.55000000000001,-23.410000000000082
460.45,523.4100000000001,39.55000000000001,-23.410000000000082
459.93,522.56,40.06999999999999,-22.559999999999945
459.93,522.56,40.06999999999999,-22.559999999999945
393.39,562.13,106.61000000000001,-62.129999999999995
418.63,559.09,81.37,-59.09000000000003
427.05,549.21,72.94999999999999,-49.210000000000036
431.39,544.66,68.61000000000001,-44.65999999999997
423.55,555.5,76.44999999999999,-55.5
429.36,553.64,70.63999999999999,-53.639999999999986
424.01,556.39,75.99000000000001,-56.389999999999986
425.82,559.96,74.18,-59.960000000000036
424.46,557.29,75.54000000000002,-57.289999999999964
439.59,547.05,60.410000000000025,-47.049999999999955
427.51,550.09,72.49000000000001,-50.09000000000003
424.01,556.39,75.99000000000001,-56.389999999999986
414.49,537.67,85.50999999999999,-37.66999999999996
427.15,536.72,72.85000000000002,-36.72000000000003
444.85,544.14,55.14999999999998,-44.139999999999986
440.07,547.93,59.93000000000001,-47.92999999999995
435.62,552.6,64.38,-52.60000000000002
439.59,547.05,60.410000000000025,-47.049999999999955
440.55,548.8,59.44999999999999,-48.799999999999955
440.55,548.8,59.44999999999999,-48.799999999999955
451.83,532.08,48.170000000000016,-32.08000000000004
440.44,574.93,59.56,-74.92999999999995
445.52,584.69,54.48000000000002,-84.69000000000005
421.51,538.56,78.49000000000001,-38.559999999999945
442.9,540.65,57.10000000000002,-40.64999999999998
437.04,555.25,62.95999999999998,-55.25
419.96,561.78,80.04000000000002,-61.77999999999997
426.27,560.85,73.73000000000002,-60.85000000000002
424.91,558.18,75.08999999999997,-58.17999999999995
424.01,556.39,75.99000000000001,-56.389999999999986
429.82,554.53,70.18,-54.52999999999997
416.85,555.51,83.14999999999998,-55.50999999999999
422.65,553.72,77.35000000000002,-53.72000000000003
425.36,559.07,74.63999999999999,-59.07000000000005
422.19,552.83,77.81,-52.83000000000004
401.55,580.39,98.44999999999999,-80.38999999999999
276.1,608.71,223.89999999999998,-108.71000000000004
389.95,569.11,110.05000000000001,-69.11000000000001
419.93,548.37,80.07,-48.370000000000005
439.59,547.05,60.410000000000025,-47.049999999999955
408.12,565.28,91.88,-65.27999999999997
381.43,596.5,118.57,-96.5
259.39,585.57,240.61,-85.57000000000005
388.5,551.17,111.5,-51.16999999999996
375.5,581.64,124.5,-81.63999999999999
352.94,556.06,147.06,-56.059999999999945
418.57,545.7,81.43,-45.700000000000045
408.78,552.78,91.22000000000003,-52.77999999999997
426.59,548.32,73.41000000000003,-48.32000000000005
432.59,559.85,67.41000000000003,-59.85000000000002
424.74,544.77,75.25999999999999,-44.76999999999998
425.2,545.66,74.80000000000001,-45.65999999999997
415.07,551.93,84.93,-51.92999999999995
407.04,549.18,92.95999999999998,-49.17999999999995
412.85,547.44,87.14999999999998,-47.440000000000055
413.74,549.24,86.25999999999999,-49.24000000000001
389.72,553.91,110.27999999999997,-53.90999999999997
395.98,553.28,104.01999999999998,-53.27999999999997
416.31,541.24,83.69,-41.24000000000001
428.99,566.2,71.00999999999999,-66.20000000000005
361.75,579.46,138.25,-79.46000000000004
424.28,543.88,75.72000000000003,-43.879999999999995
427.15,536.72,72.85000000000002,-36.72000000000003
439.97,535.41,60.02999999999997,-35.40999999999997
272.79,622.68,227.20999999999998,-122.67999999999995
387.28,548.44,112.72000000000003,-48.440000000000055
414.04,536.78,85.95999999999998,-36.77999999999997
425.16,601.47,74.83999999999997,-101.47000000000003
447.6,536.84,52.39999999999998,-36.84000000000003
450.32,529.49,49.68000000000001,-29.49000000000001
439.97,535.41,60.02999999999997,-35.40999999999997
386.76,561.78,113.24000000000001,-61.77999999999997
437.2,542.66,62.80000000000001,-42.65999999999997
443.87,542.4,56.129999999999995,-42.39999999999998
471.43,541.32,28.569999999999993,-41.32000000000005
470.91,540.47,29.089999999999975,-40.47000000000003
469.86,538.76,30.139999999999986,-38.75999999999999
469.86,538.76,30.139999999999986,-38.75999999999999
469.86,538.76,30.139999999999986,-38.75999999999999
470.38,539.61,29.620000000000005,-39.610000000000014
470.38,539.61,29.620000000000005,-39.610000000000014
435.28,539.15,64.72000000000003,-39.14999999999998
453.34,523.05,46.660000000000025,-23.049999999999955
276.3,609.69,223.7,-109.69000000000005
429.82,554.53,70.18,-54.52999999999997
433.27,548.19,66.73000000000002,-48.190000000000055
268.81,603.08,231.19,-103.08000000000004
388.66999999999996,632.33,111.33000000000004,-132.33000000000004
408.78,552.78,91.22000000000003,-52.77999999999997
441.43,538.03,58.56999999999999,-38.02999999999997
497.43,547.33,2.569999999999993,-47.33000000000004
311.11,599.12,188.89,-99.12
402.15,552.61,97.85000000000002,-52.610000000000014
348.41999999999996,577.94,151.58000000000004,-77.94000000000005
387.15999999999997,562.69,112.84000000000003,-62.690000000000055
252.69,615.25,247.31,-115.25
423.36,542.11,76.63999999999999,-42.110000000000014
414.19,550.13,85.81,-50.129999999999995
435.76,540.03,64.24000000000001,-40.02999999999997
432.8,547.31,67.19999999999999,-47.309999999999945
485.42,507.23,14.579999999999984,-7.230000000000018
460.54,535.05,39.45999999999998,-35.049999999999955
461.05,535.91,38.94999999999999,-35.90999999999997
460.54,535.05,39.45999999999998,-35.049999999999955
460.03,534.2,39.97000000000003,-34.200000000000045
460.03,534.2,39.97000000000003,-34.200000000000045
460.03,534.2,39.97000000000003,-34.200000000000045
460.54,535.05,39.45999999999998,-35.049999999999955
460.54,535.05,39.45999999999998,-35.049999999999955
417.21,543.02,82.79000000000002,-43.01999999999998
479.88,509.77,20.120000000000005,-9.769999999999982
471.63,518.77,28.370000000000005,-18.769999999999982
475.13,535.5,24.870000000000005,-35.5
475.13,535.5,24.870000000000005,-35.5
455.55,550.73,44.44999999999999,-50.73000000000002
444.12,530.77,55.879999999999995,-30.769999999999982
412.85,547.44,87.14999999999998,-47.440000000000055
