X®y¼Ð,Y®y¼Ð,x»~®t,y»~®t
255.08,328.31,44.92,-28.31
246.19,335.58,53.81,-35.58
248.66,330.91,51.34,-30.91
244.88,329.73,55.12,-29.73
248.21,328.96,51.79,-28.96
238.15,331.16,61.85,-31.16
232.1,336.4,67.9,-36.4
238.74,334.1,61.26,-34.1
238.35,332.14,61.65,-32.14
238.15,331.16,61.85,-31.16
238.55,333.12,61.45,-33.12
238.94,335.08,61.06,-35.08
238.94,335.08,61.06,-35.08
244.88,329.73,55.12,-29.73
245.1,330.7,54.9,-30.7
242.74,336.34,57.26,-36.34
238.55,333.12,61.45,-33.12
234.61,330.84,65.39,-30.84
235.37,334.77,64.63,-34.77
320.95,372.97,-20.95,-72.97
309.84,308.2,-9.84,-8.2
307.87,280.45,-7.87,19.55
305.92,307.74,-5.92,-7.74
317.37,308.04,-17.37,-8.04
351.39,271.87,-51.39,28.13
363.26,260.02,-63.26,39.98
352.46,267.56,-52.46,32.44
348.09,272.82,-48.09,27.18
341.95,275.49,-41.95,24.51
341.9,295.28,-41.9,4.72
334.51,289.12,-34.51,10.88
302.09,290.85,-2.09,9.15
278.34,291.85,21.66,8.15
273.71,288.2,26.29,11.8
263.72,277.88,36.28,22.12
246.08,249.89,53.92,50.11
258.46,271.18,41.54,28.82
274.64,272.95,25.36,27.05
258.05,339.94,41.95,-39.94
302.99,424.9,-2.99,-124.9
281.08,412.47,18.92,-112.47
239.52,356.37,60.48,-56.37
240.69,383.62,59.31,-83.62
263.49,361.26,36.51,-61.26
256.64,364.99,43.36,-64.99
232.76,360.65,67.24,-60.65
251.21,358.03,48.79,-58.03
245.57,387.8,54.43,-87.8
230.67,328.53,69.33,-28.53
204.84,342.26,95.16,-42.26
298.72,358.9,1.28,-58.9
266.26,388.39,33.74,-88.39
320.84,264.68,-20.84,35.32
330.93,263.46,-30.93,36.54
334.63,263.55,-34.63,36.45
330.27,268.5,-30.27,31.5
336.28,260.18,-36.28,39.82
330.41,262.6,-30.41,37.4
292.61,320.68,7.39,-20.68
269.54,328.46,30.46,-28.46
269.82,329.42,30.18,-29.42
266.98,332.34,33.02,-32.34
273.74,330.32,26.26,-30.32
274.33,332.23,25.67,-32.23
273.74,330.32,26.26,-30.32
273.74,330.32,26.26,-30.32
274.33,332.23,25.67,-32.23
274.33,332.23,25.67,-32.23
273.44,329.37,26.56,-29.37
270.39,331.34,29.61,-31.34
273.74,330.32,26.26,-30.32
267.26,333.3,32.74,-33.3
276.15,326.42,23.85,-26.42
