X®y¼Ð,Y®y¼Ð,x»~®t,y»~®t
391.4,492.2,8.600000000000023,7.800000000000011
382.68,498.75,17.319999999999993,1.25
373.05,503.29,26.94999999999999,-3.2900000000000205
382.25,497.85,17.75,2.1499999999999773
377.02,499.23,22.980000000000018,0.7699999999999818
382.25,497.85,17.75,2.1499999999999773
377.45,500.14,22.55000000000001,-0.13999999999998636
377.88,501.04,22.120000000000005,-1.0400000000000205
372.63,502.38,27.370000000000005,-2.3799999999999955
381.81,496.95,18.189999999999998,3.0500000000000114
381.81,496.95,18.189999999999998,3.0500000000000114
381.81,496.95,18.189999999999998,3.0500000000000114
386.21000000000004,493.68,13.789999999999964,6.319999999999993
381.38,496.05,18.620000000000005,3.9499999999999886
367.3,503.69,32.69999999999999,-3.6899999999999977
381.81,496.95,18.189999999999998,3.0500000000000114
367.71000000000004,504.61,32.289999999999964,-4.610000000000014
377.45,500.14,22.55000000000001,-0.13999999999998636
377.88,501.04,22.120000000000005,-1.0400000000000205
377.45,500.14,22.55000000000001,-0.13999999999998636
381.81,496.95,18.189999999999998,3.0500000000000114
382.25,497.85,17.75,2.1499999999999773
382.68,498.75,17.319999999999993,1.25
382.68,498.75,17.319999999999993,1.25
373.05,503.29,26.94999999999999,-3.2900000000000205
372.63,502.38,27.370000000000005,-2.3799999999999955
377.45,500.14,22.55000000000001,-0.13999999999998636
368.12,505.52,31.879999999999995,-5.519999999999982
362.45,505.83,37.55000000000001,-5.829999999999984
372.22,501.47,27.779999999999973,-1.4700000000000273
377.45,500.14,22.55000000000001,-0.13999999999998636
377.45,500.14,22.55000000000001,-0.13999999999998636
363.25,507.66,36.75,-7.660000000000025
372.63,502.38,27.370000000000005,-2.3799999999999955
382.25,497.85,17.75,2.1499999999999773
382.68,498.75,17.319999999999993,1.25
383.55,500.55,16.44999999999999,-0.5500000000000114
382.25,497.85,17.75,2.1499999999999773
382.25,497.85,17.75,2.1499999999999773
382.25,497.85,17.75,2.1499999999999773
367.3,503.69,32.69999999999999,-3.6899999999999977
377.45,500.14,22.55000000000001,-0.13999999999998636
377.45,500.14,22.55000000000001,-0.13999999999998636
377.88,501.04,22.120000000000005,-1.0400000000000205
382.68,498.75,17.319999999999993,1.25
381.38,496.05,18.620000000000005,3.9499999999999886
367.71000000000004,504.61,32.289999999999964,-4.610000000000014
353.06,510.88,46.94,-10.879999999999995
372.63,502.38,27.370000000000005,-2.3799999999999955
373.05,503.29,26.94999999999999,-3.2900000000000205
377.45,500.14,22.55000000000001,-0.13999999999998636
383.12,499.65,16.879999999999995,0.35000000000002274
382.68,498.75,17.319999999999993,1.25
377.45,500.14,22.55000000000001,-0.13999999999998636
381.81,496.95,18.189999999999998,3.0500000000000114
377.88,501.04,22.120000000000005,-1.0400000000000205
377.45,500.14,22.55000000000001,-0.13999999999998636
383.55,500.55,16.44999999999999,-0.5500000000000114
382.25,497.85,17.75,2.1499999999999773
381.81,496.95,18.189999999999998,3.0500000000000114
382.68,498.75,17.319999999999993,1.25
381.81,496.95,18.189999999999998,3.0500000000000114
372.22,501.47,27.779999999999973,-1.4700000000000273
377.02,499.23,22.980000000000018,0.7699999999999818
382.25,497.85,17.75,2.1499999999999773
381.81,496.95,18.189999999999998,3.0500000000000114
382.25,497.85,17.75,2.1499999999999773
382.25,497.85,17.75,2.1499999999999773
362.45,505.83,37.55000000000001,-5.829999999999984
381.81,496.95,18.189999999999998,3.0500000000000114
381.81,496.95,18.189999999999998,3.0500000000000114
381.81,496.95,18.189999999999998,3.0500000000000114
381.38,496.05,18.620000000000005,3.9499999999999886
381.81,496.95,18.189999999999998,3.0500000000000114
396.57,490.66,3.430000000000007,9.339999999999975
386.65999999999997,494.58,13.340000000000032,5.420000000000016
382.25,497.85,17.75,2.1499999999999773
382.25,497.85,17.75,2.1499999999999773
392.3,493.98,7.699999999999989,6.019999999999982
396.57,490.66,3.430000000000007,9.339999999999975
387.1,495.48,12.899999999999977,4.519999999999982
386.65999999999997,494.58,13.340000000000032,5.420000000000016
382.25,497.85,17.75,2.1499999999999773
382.68,498.75,17.319999999999993,1.25
387.1,495.48,12.899999999999977,4.519999999999982
381.81,496.95,18.189999999999998,3.0500000000000114
381.38,496.05,18.620000000000005,3.9499999999999886
387.1,495.48,12.899999999999977,4.519999999999982
381.81,496.95,18.189999999999998,3.0500000000000114
386.65999999999997,494.58,13.340000000000032,5.420000000000016
386.65999999999997,494.58,13.340000000000032,5.420000000000016
390.94,491.31,9.060000000000002,8.689999999999998
387.1,495.48,12.899999999999977,4.519999999999982
387.1,495.48,12.899999999999977,4.519999999999982
382.25,497.85,17.75,2.1499999999999773
386.21000000000004,493.68,13.789999999999964,6.319999999999993
373.05,503.29,26.94999999999999,-3.2900000000000205
387.55,496.37,12.449999999999989,3.6299999999999955
386.65999999999997,494.58,13.340000000000032,5.420000000000016
382.25,497.85,17.75,2.1499999999999773
381.81,496.95,18.189999999999998,3.0500000000000114
367.3,503.69,32.69999999999999,-3.6899999999999977
382.25,497.85,17.75,2.1499999999999773
382.68,498.75,17.319999999999993,1.25
382.68,498.75,17.319999999999993,1.25
377.88,501.04,22.120000000000005,-1.0400000000000205
382.25,497.85,17.75,2.1499999999999773
382.68,498.75,17.319999999999993,1.25
377.45,500.14,22.55000000000001,-0.13999999999998636
