X®y¼Ð,Y®y¼Ð,x»~®t,y»~®t
413.14,535.0,-13.139999999999986,-35.0
419.66,535.01,-19.660000000000025,-35.00999999999999
419.66,535.01,-19.660000000000025,-35.00999999999999
417.81,531.47,-17.810000000000002,-31.470000000000027
417.81,531.47,-17.810000000000002,-31.470000000000027
428.09,525.99,-28.089999999999975,-25.99000000000001
422.92,528.78,-22.920000000000016,-28.779999999999973
431.92,533.01,-31.920000000000016,-33.00999999999999
414.12,524.37,-14.120000000000005,-24.370000000000005
416.43,528.81,-16.430000000000007,-28.809999999999945
415.85,540.35,-15.850000000000023,-40.35000000000002
413.14,535.0,-13.139999999999986,-35.0
422.92,528.78,-22.920000000000016,-28.779999999999973
422.45,527.89,-22.44999999999999,-27.889999999999986
416.43,528.81,-16.430000000000007,-28.809999999999945
434.6,525.81,-34.60000000000002,-25.809999999999945
433.14,523.2,-33.139999999999986,-23.200000000000045
425.69,521.6,-25.689999999999998,-21.600000000000023
427.13,524.23,-27.129999999999995,-24.230000000000018
424.33,531.42,-24.329999999999984,-31.41999999999996
423.86,530.54,-23.860000000000014,-30.539999999999964
421.98,527.01,-21.980000000000018,-27.00999999999999
427.13,524.23,-27.129999999999995,-24.230000000000018
427.61,525.11,-27.610000000000014,-25.110000000000014
436.67,517.75,-36.670000000000016,-17.75
437.16,518.62,-37.160000000000025,-18.620000000000005
430.69,518.8299999999999,-30.689999999999998,-18.829999999999927
428.57,526.87,-28.569999999999993,-26.870000000000005
426.17,522.48,-26.170000000000016,-22.480000000000018
426.17,522.48,-26.170000000000016,-22.480000000000018
427.13,524.23,-27.129999999999995,-24.230000000000018
426.17,522.48,-26.170000000000016,-22.480000000000018
419.63,522.6,-19.629999999999995,-22.600000000000023
433.69,512.54,-33.69,-12.539999999999964
425.69,521.6,-25.689999999999998,-21.600000000000023
425.21,520.72,-25.20999999999998,-20.720000000000027
424.25,518.97,-24.25,-18.970000000000027
421.04,525.25,-21.04000000000002,-25.25
418.68,520.8399999999999,-18.680000000000007,-20.839999999999918
407.97,537.59,-7.970000000000027,-37.59000000000003
423.86,530.54,-23.860000000000014,-30.539999999999964
432.16,521.45,-32.160000000000025,-21.450000000000045
420.57,524.36,-20.569999999999993,-24.360000000000014
417.81,531.47,-17.810000000000002,-31.470000000000027
428.57,526.87,-28.569999999999993,-26.870000000000005
419.63,522.6,-19.629999999999995,-22.600000000000023
422.45,527.89,-22.44999999999999,-27.889999999999986
415.04,526.14,-15.04000000000002,-26.139999999999986
429.72,517.0899999999999,-29.720000000000027,-17.089999999999918
426.21,534.95,-26.20999999999998,-34.950000000000045
422.45,527.89,-22.44999999999999,-27.889999999999986
415.51,527.03,-15.509999999999991,-27.029999999999973
421.04,525.25,-21.04000000000002,-25.25
