X®y¼Ð,Y®y¼Ð,x»~®t,y»~®t
316.28,472.61,83.72000000000003,-172.61
150.0,508.0,250.0,-208.0
342.61,436.93,57.389999999999986,-136.93
307.14,434.4,92.86000000000001,-134.39999999999998
272.43,459.37,127.57,-159.37
223.31,471.12,176.69,-171.12
400.44,399.27,-0.4399999999999977,-99.26999999999998
376.9,463.67,23.100000000000023,-163.67000000000002
259.34000000000003,463.82,140.65999999999997,-163.82
343.8,428.66,56.19999999999999,-128.66000000000003
345.51,432.28,54.49000000000001,-132.27999999999997
345.51,432.28,54.49000000000001,-132.27999999999997
345.08000000000004,431.38,54.91999999999996,-131.38
345.08000000000004,431.38,54.91999999999996,-131.38
345.08000000000004,431.38,54.91999999999996,-131.38
318.75,439.55,81.25,-139.55
312.41999999999996,448.44,87.58000000000004,-148.44
312.41999999999996,448.44,87.58000000000004,-148.44
308.15,478.66,91.85000000000002,-178.66000000000003
320.33000000000004,456.12,79.66999999999996,-156.12
273.23,445.64,126.76999999999998,-145.64
317.40999999999997,490.26,82.59000000000003,-190.26
354.25,474.47,45.75,-174.47000000000003
361.44,404.01,38.56,-104.00999999999999
284.21000000000004,436.03,115.78999999999996,-136.02999999999997
268.97,483.06,131.02999999999997,-183.06
279.03999999999996,465.82,120.96000000000004,-165.82
287.13,460.27,112.87,-160.26999999999998
304.59000000000003,468.26,95.40999999999997,-168.26
305.03,428.79,94.97000000000003,-128.79000000000002
239.17000000000002,480.5,160.82999999999998,-180.5
262.43,476.44,137.57,-176.44
306.93,490.68,93.07,-190.68
235.39,460.86,164.61,-160.86
251.92000000000002,452.23,148.07999999999998,-152.23000000000002
292.45,461.74,107.55000000000001,-161.74
337.95,437.95,62.05000000000001,-137.95
361.05,432.47,38.94999999999999,-132.47000000000003
309.61,440.95,90.38999999999999,-140.95
252.82999999999998,456.12,147.17000000000002,-156.12
254.0,505.04,146.0,-205.04000000000002
277.28,495.36,122.72000000000003,-195.36
281.57,457.78,118.43,-157.77999999999997
231.70999999999998,493.04,168.29000000000002,-193.04000000000002
342.02,447.08,57.98000000000002,-147.07999999999998
267.63,442.02,132.37,-142.01999999999998
290.91999999999996,456.98,109.08000000000004,-156.98000000000002
354.40999999999997,440.22,45.59000000000003,-140.22000000000003
255.53,448.28,144.47,-148.27999999999997
261.24,471.59,138.76,-171.58999999999997
245.76999999999998,489.39,154.23000000000002,-189.39
239.55,482.46,160.45,-182.45999999999998
246.70999999999998,449.31,153.29000000000002,-149.31
316.40999999999997,487.44,83.59000000000003,-187.44
203.67000000000002,461.77,196.32999999999998,-161.76999999999998
249.0,481.57,151.0,-181.57
315.9,409.37,84.10000000000002,-109.37
317.07,412.13,82.93,-112.13
317.46000000000004,413.05,82.53999999999996,-113.05000000000001
317.46000000000004,413.05,82.53999999999996,-113.05000000000001
317.07,412.13,82.93,-112.13
251.51999999999998,470.78,148.48000000000002,-170.77999999999997
271.9,457.44,128.10000000000002,-157.44
250.42000000000002,465.9,149.57999999999998,-165.89999999999998
275.72,454.29,124.27999999999997,-154.29000000000002
320.53,469.96,79.47000000000003,-169.95999999999998
226.13,460.51,173.87,-160.51
278.57,481.54,121.43,-181.54000000000002
272.96,461.3,127.04000000000002,-161.3
279.0,449.16,121.0,-149.16000000000003
288.9,466.01,111.10000000000002,-166.01
346.78,435.0,53.22000000000003,-135.0
304.26,467.31,95.74000000000001,-167.31
329.91999999999996,442.52,70.08000000000004,-142.51999999999998
233.76,477.44,166.24,-177.44
329.1,452.62,70.89999999999998,-152.62
337.32,460.02,62.68000000000001,-160.01999999999998
277.93,461.97,122.07,-161.97000000000003
340.39,421.42,59.610000000000014,-121.42000000000002
282.38,430.32,117.62,-130.32
301.4,445.01,98.60000000000002,-145.01
260.31,449.14,139.69,-149.14
342.2,436.02,57.80000000000001,-136.01999999999998
202.01,488.14,197.99,-188.14
185.04,516.77,214.96,-216.76999999999998
184.82999999999998,513.78,215.17000000000002,-213.77999999999997
184.69,511.79,215.31,-211.79000000000002
184.76,512.78,215.24,-212.77999999999997
184.76,512.78,215.24,-212.77999999999997
184.76,512.78,215.24,-212.77999999999997
184.69,511.79,215.31,-211.79000000000002
184.69,511.79,215.31,-211.79000000000002
184.76,512.78,215.24,-212.77999999999997
184.69,511.79,215.31,-211.79000000000002
184.69,511.79,215.31,-211.79000000000002
184.76,512.78,215.24,-212.77999999999997
184.76,512.78,215.24,-212.77999999999997
184.69,511.79,215.31,-211.79000000000002
184.69,511.79,215.31,-211.79000000000002
184.69,511.79,215.31,-211.79000000000002
